Epoch 1 | Train Loss: 1.0100 | Train Acc: 40.66% | Val Loss: 1.0113 | Val Acc: 40.85%
Epoch 2 | Train Loss: 0.8136 | Train Acc: 54.76% | Val Loss: 0.8162 | Val Acc: 54.52%
Epoch 3 | Train Loss: 0.7184 | Train Acc: 62.53% | Val Loss: 0.7215 | Val Acc: 62.58%
Epoch 4 | Train Loss: 0.6603 | Train Acc: 67.44% | Val Loss: 0.6636 | Val Acc: 67.05%
Epoch 5 | Train Loss: 0.6204 | Train Acc: 70.72% | Val Loss: 0.6238 | Val Acc: 70.17%
Epoch 6 | Train Loss: 0.5907 | Train Acc: 73.06% | Val Loss: 0.5942 | Val Acc: 72.83%
Epoch 7 | Train Loss: 0.5675 | Train Acc: 74.87% | Val Loss: 0.5709 | Val Acc: 74.60%
Epoch 8 | Train Loss: 0.5487 | Train Acc: 76.25% | Val Loss: 0.5521 | Val Acc: 76.23%
Epoch 9 | Train Loss: 0.5330 | Train Acc: 77.33% | Val Loss: 0.5367 | Val Acc: 77.08%
Epoch 10 | Train Loss: 0.5196 | Train Acc: 78.38% | Val Loss: 0.5230 | Val Acc: 78.10%
78.10000000000001 79.29
