Epoch 1 | Train Loss: 0.2387 | Train Acc: 91.70% | Val Loss: 0.2406 | Val Acc: 91.70%
Epoch 2 | Train Loss: 0.1754 | Train Acc: 94.25% | Val Loss: 0.1785 | Val Acc: 93.88%
Epoch 3 | Train Loss: 0.1454 | Train Acc: 95.03% | Val Loss: 0.1475 | Val Acc: 94.82%
Epoch 4 | Train Loss: 0.1313 | Train Acc: 95.66% | Val Loss: 0.1347 | Val Acc: 95.17%
Epoch 5 | Train Loss: 0.1582 | Train Acc: 96.00% | Val Loss: 0.1637 | Val Acc: 95.38%
Epoch 6 | Train Loss: 0.1344 | Train Acc: 96.50% | Val Loss: 0.1412 | Val Acc: 95.98%
Epoch 7 | Train Loss: 0.1004 | Train Acc: 96.75% | Val Loss: 0.1079 | Val Acc: 96.20%
Epoch 8 | Train Loss: 0.1010 | Train Acc: 97.01% | Val Loss: 0.1093 | Val Acc: 96.53%
Epoch 9 | Train Loss: 0.1192 | Train Acc: 96.98% | Val Loss: 0.1285 | Val Acc: 96.28%
Epoch 10 | Train Loss: 0.0858 | Train Acc: 97.32% | Val Loss: 0.0963 | Val Acc: 96.67%
96.66666666666667 96.35000000000001
