Epoch 1 | Train Loss: 0.8608 | Train Acc: 38.21% | Val Loss: 0.8621 | Val Acc: 37.97%
Epoch 2 | Train Loss: 0.7639 | Train Acc: 48.98% | Val Loss: 0.7673 | Val Acc: 48.52%
Epoch 3 | Train Loss: 0.7110 | Train Acc: 54.01% | Val Loss: 0.7151 | Val Acc: 53.00%
Epoch 4 | Train Loss: 0.6759 | Train Acc: 57.25% | Val Loss: 0.6806 | Val Acc: 56.20%
Epoch 5 | Train Loss: 0.6495 | Train Acc: 59.99% | Val Loss: 0.6546 | Val Acc: 59.22%
Epoch 6 | Train Loss: 0.6283 | Train Acc: 62.08% | Val Loss: 0.6338 | Val Acc: 61.62%
Epoch 7 | Train Loss: 0.6107 | Train Acc: 63.81% | Val Loss: 0.6165 | Val Acc: 63.00%
Epoch 8 | Train Loss: 0.5958 | Train Acc: 65.14% | Val Loss: 0.6017 | Val Acc: 64.27%
Epoch 9 | Train Loss: 0.5827 | Train Acc: 66.20% | Val Loss: 0.5889 | Val Acc: 65.52%
Epoch 10 | Train Loss: 0.5713 | Train Acc: 67.12% | Val Loss: 0.5775 | Val Acc: 66.47%
66.46666666666667 66.83
