Epoch 1 | Train Loss: 0.1900 | Train Acc: 93.79% | Val Loss: 0.1926 | Val Acc: 93.98%
Epoch 2 | Train Loss: 0.1501 | Train Acc: 95.39% | Val Loss: 0.1546 | Val Acc: 95.30%
Epoch 3 | Train Loss: 0.1330 | Train Acc: 96.06% | Val Loss: 0.1395 | Val Acc: 95.75%
Epoch 4 | Train Loss: 0.1183 | Train Acc: 96.54% | Val Loss: 0.1253 | Val Acc: 96.18%
Epoch 5 | Train Loss: 0.1081 | Train Acc: 96.90% | Val Loss: 0.1169 | Val Acc: 96.40%
Epoch 6 | Train Loss: 0.1006 | Train Acc: 97.24% | Val Loss: 0.1107 | Val Acc: 96.87%
Epoch 7 | Train Loss: 0.0957 | Train Acc: 97.39% | Val Loss: 0.1068 | Val Acc: 96.95%
Epoch 8 | Train Loss: 0.0901 | Train Acc: 97.57% | Val Loss: 0.1017 | Val Acc: 97.15%
Epoch 9 | Train Loss: 0.0860 | Train Acc: 97.79% | Val Loss: 0.0995 | Val Acc: 97.28%
Epoch 10 | Train Loss: 0.0822 | Train Acc: 97.88% | Val Loss: 0.0965 | Val Acc: 97.37%
97.36666666666667 96.89999999999999
