Epoch 1 | Train Loss: 0.6369 | Train Acc: 65.66% | Val Loss: 0.6440 | Val Acc: 65.20%
Epoch 2 | Train Loss: 0.5404 | Train Acc: 71.36% | Val Loss: 0.5468 | Val Acc: 70.57%
Epoch 3 | Train Loss: 0.4935 | Train Acc: 73.72% | Val Loss: 0.4999 | Val Acc: 73.08%
Epoch 4 | Train Loss: 0.4629 | Train Acc: 75.51% | Val Loss: 0.4688 | Val Acc: 75.50%
Epoch 5 | Train Loss: 0.4412 | Train Acc: 76.43% | Val Loss: 0.4466 | Val Acc: 76.02%
Epoch 6 | Train Loss: 0.4250 | Train Acc: 77.18% | Val Loss: 0.4303 | Val Acc: 77.02%
Epoch 7 | Train Loss: 0.4119 | Train Acc: 77.80% | Val Loss: 0.4170 | Val Acc: 77.72%
Epoch 8 | Train Loss: 0.4014 | Train Acc: 78.43% | Val Loss: 0.4065 | Val Acc: 78.12%
Epoch 9 | Train Loss: 0.3918 | Train Acc: 78.83% | Val Loss: 0.3967 | Val Acc: 78.47%
Epoch 10 | Train Loss: 0.3842 | Train Acc: 79.14% | Val Loss: 0.3892 | Val Acc: 78.98%
78.98333333333333 78.01
