Epoch 1 | Train Loss: 0.6794 | Train Acc: 72.14% | Val Loss: 0.6924 | Val Acc: 71.40%
Epoch 2 | Train Loss: 1.4275 | Train Acc: 69.70% | Val Loss: 1.4535 | Val Acc: 69.15%
Epoch 3 | Train Loss: 0.6978 | Train Acc: 80.64% | Val Loss: 0.7158 | Val Acc: 79.88%
Epoch 4 | Train Loss: 1.0287 | Train Acc: 62.55% | Val Loss: 1.0513 | Val Acc: 61.30%
Epoch 5 | Train Loss: 0.4118 | Train Acc: 83.59% | Val Loss: 0.4359 | Val Acc: 82.23%
Epoch 6 | Train Loss: 1.4918 | Train Acc: 60.84% | Val Loss: 1.5186 | Val Acc: 59.70%
Epoch 7 | Train Loss: 0.8910 | Train Acc: 79.57% | Val Loss: 0.9231 | Val Acc: 77.23%
Epoch 8 | Train Loss: 0.5795 | Train Acc: 81.54% | Val Loss: 0.6054 | Val Acc: 80.03%
Epoch 9 | Train Loss: 0.9696 | Train Acc: 71.48% | Val Loss: 1.0046 | Val Acc: 69.08%
Epoch 10 | Train Loss: 1.0618 | Train Acc: 78.70% | Val Loss: 1.0873 | Val Acc: 76.42%
76.41666666666667 76.64
