Epoch 1 | Train Loss: 0.3345 | Train Acc: 80.53% | Val Loss: 0.3405 | Val Acc: 80.28%
Epoch 2 | Train Loss: 0.2986 | Train Acc: 82.28% | Val Loss: 0.3041 | Val Acc: 82.00%
Epoch 3 | Train Loss: 0.2878 | Train Acc: 83.43% | Val Loss: 0.2938 | Val Acc: 83.20%
Epoch 4 | Train Loss: 0.2649 | Train Acc: 84.25% | Val Loss: 0.2710 | Val Acc: 83.87%
Epoch 5 | Train Loss: 0.2528 | Train Acc: 84.70% | Val Loss: 0.2589 | Val Acc: 84.33%
Epoch 6 | Train Loss: 0.2499 | Train Acc: 85.20% | Val Loss: 0.2575 | Val Acc: 84.68%
Epoch 7 | Train Loss: 0.2355 | Train Acc: 85.73% | Val Loss: 0.2427 | Val Acc: 85.23%
Epoch 8 | Train Loss: 0.2319 | Train Acc: 85.99% | Val Loss: 0.2406 | Val Acc: 85.43%
Epoch 9 | Train Loss: 0.2262 | Train Acc: 86.29% | Val Loss: 0.2341 | Val Acc: 85.67%
Epoch 10 | Train Loss: 0.2235 | Train Acc: 86.73% | Val Loss: 0.2319 | Val Acc: 85.95%
85.95 85.17
