Epoch 1 | Train Loss: 1.1082 | Train Acc: 61.01% | Val Loss: 1.1115 | Val Acc: 60.23%
Epoch 2 | Train Loss: 0.2933 | Train Acc: 83.46% | Val Loss: 0.3055 | Val Acc: 82.43%
Epoch 3 | Train Loss: 0.3956 | Train Acc: 81.17% | Val Loss: 0.4111 | Val Acc: 79.90%
Epoch 4 | Train Loss: 0.3699 | Train Acc: 77.82% | Val Loss: 0.3955 | Val Acc: 76.23%
Epoch 5 | Train Loss: 0.2787 | Train Acc: 84.91% | Val Loss: 0.2979 | Val Acc: 83.25%
Epoch 6 | Train Loss: 0.2237 | Train Acc: 87.50% | Val Loss: 0.2408 | Val Acc: 86.07%
Epoch 7 | Train Loss: 0.3388 | Train Acc: 83.34% | Val Loss: 0.3616 | Val Acc: 81.65%
Epoch 8 | Train Loss: 0.2545 | Train Acc: 86.75% | Val Loss: 0.2836 | Val Acc: 84.97%
Epoch 9 | Train Loss: 0.2548 | Train Acc: 86.95% | Val Loss: 0.2779 | Val Acc: 85.17%
Epoch 10 | Train Loss: 0.2502 | Train Acc: 87.34% | Val Loss: 0.2838 | Val Acc: 85.20%
85.2 85.14
