Epoch 1 | Train Loss: 0.5299 | Train Acc: 84.42% | Val Loss: 0.5280 | Val Acc: 85.10%
Epoch 2 | Train Loss: 0.1275 | Train Acc: 95.53% | Val Loss: 0.1342 | Val Acc: 94.92%
Epoch 3 | Train Loss: 0.1241 | Train Acc: 96.20% | Val Loss: 0.1340 | Val Acc: 95.45%
Epoch 4 | Train Loss: 0.2170 | Train Acc: 95.97% | Val Loss: 0.2290 | Val Acc: 95.17%
Epoch 5 | Train Loss: 0.0911 | Train Acc: 97.88% | Val Loss: 0.1060 | Val Acc: 96.70%
Epoch 6 | Train Loss: 0.1242 | Train Acc: 96.98% | Val Loss: 0.1418 | Val Acc: 95.68%
Epoch 7 | Train Loss: 0.0534 | Train Acc: 98.52% | Val Loss: 0.0708 | Val Acc: 97.30%
Epoch 8 | Train Loss: 0.0770 | Train Acc: 98.81% | Val Loss: 0.0940 | Val Acc: 97.43%
Epoch 9 | Train Loss: 0.0423 | Train Acc: 99.05% | Val Loss: 0.0647 | Val Acc: 97.42%
Epoch 10 | Train Loss: 0.0684 | Train Acc: 99.06% | Val Loss: 0.0911 | Val Acc: 97.45%
97.45 97.27
