Epoch 1 | Train Loss: 0.3306 | Train Acc: 86.89% | Val Loss: 0.3266 | Val Acc: 87.22%
Epoch 2 | Train Loss: 0.1931 | Train Acc: 91.03% | Val Loss: 0.1940 | Val Acc: 90.78%
Epoch 3 | Train Loss: 0.3342 | Train Acc: 90.45% | Val Loss: 0.3383 | Val Acc: 90.48%
Epoch 4 | Train Loss: 0.1219 | Train Acc: 94.16% | Val Loss: 0.1309 | Val Acc: 93.38%
Epoch 5 | Train Loss: 0.1449 | Train Acc: 94.66% | Val Loss: 0.1570 | Val Acc: 93.83%
Epoch 6 | Train Loss: 0.0766 | Train Acc: 96.20% | Val Loss: 0.0890 | Val Acc: 95.18%
Epoch 7 | Train Loss: 0.0757 | Train Acc: 96.10% | Val Loss: 0.0949 | Val Acc: 94.73%
Epoch 8 | Train Loss: 0.1448 | Train Acc: 95.84% | Val Loss: 0.1586 | Val Acc: 94.82%
Epoch 9 | Train Loss: 0.1139 | Train Acc: 94.82% | Val Loss: 0.1344 | Val Acc: 93.53%
Epoch 10 | Train Loss: 0.0887 | Train Acc: 96.75% | Val Loss: 0.1120 | Val Acc: 94.98%
94.98333333333333 95.50999999999999
