Epoch 1 | Train Loss: 0.3602 | Train Acc: 80.78% | Val Loss: 0.3683 | Val Acc: 80.35%
Epoch 2 | Train Loss: 0.3368 | Train Acc: 82.53% | Val Loss: 0.3478 | Val Acc: 81.68%
Epoch 3 | Train Loss: 0.2456 | Train Acc: 86.37% | Val Loss: 0.2564 | Val Acc: 85.72%
Epoch 4 | Train Loss: 0.2759 | Train Acc: 85.31% | Val Loss: 0.2871 | Val Acc: 84.63%
Epoch 5 | Train Loss: 0.2365 | Train Acc: 86.60% | Val Loss: 0.2510 | Val Acc: 85.65%
Epoch 6 | Train Loss: 0.2345 | Train Acc: 86.89% | Val Loss: 0.2516 | Val Acc: 86.05%
Epoch 7 | Train Loss: 0.2031 | Train Acc: 88.84% | Val Loss: 0.2245 | Val Acc: 87.62%
Epoch 8 | Train Loss: 0.2057 | Train Acc: 88.66% | Val Loss: 0.2290 | Val Acc: 86.85%
Epoch 9 | Train Loss: 0.1981 | Train Acc: 89.90% | Val Loss: 0.2241 | Val Acc: 88.03%
Epoch 10 | Train Loss: 0.1897 | Train Acc: 89.91% | Val Loss: 0.2185 | Val Acc: 87.98%
87.98333333333333 87.16000000000001
