Epoch 1 | Train Loss: 0.3137 | Train Acc: 82.03% | Val Loss: 0.3201 | Val Acc: 81.85%
Epoch 2 | Train Loss: 0.2754 | Train Acc: 83.62% | Val Loss: 0.2818 | Val Acc: 82.87%
Epoch 3 | Train Loss: 0.2619 | Train Acc: 84.42% | Val Loss: 0.2690 | Val Acc: 83.75%
Epoch 4 | Train Loss: 0.2597 | Train Acc: 84.44% | Val Loss: 0.2661 | Val Acc: 84.07%
Epoch 5 | Train Loss: 0.2353 | Train Acc: 85.65% | Val Loss: 0.2426 | Val Acc: 84.83%
Epoch 6 | Train Loss: 0.2319 | Train Acc: 85.83% | Val Loss: 0.2405 | Val Acc: 85.43%
Epoch 7 | Train Loss: 0.2282 | Train Acc: 86.20% | Val Loss: 0.2373 | Val Acc: 85.62%
Epoch 8 | Train Loss: 0.2180 | Train Acc: 86.59% | Val Loss: 0.2276 | Val Acc: 85.92%
Epoch 9 | Train Loss: 0.2145 | Train Acc: 86.72% | Val Loss: 0.2242 | Val Acc: 86.28%
Epoch 10 | Train Loss: 0.2099 | Train Acc: 87.09% | Val Loss: 0.2209 | Val Acc: 86.55%
86.55000000000001 85.53
