Epoch 1 | Train Loss: 0.2437 | Train Acc: 91.10% | Val Loss: 0.2442 | Val Acc: 91.43%
Epoch 2 | Train Loss: 0.1918 | Train Acc: 93.08% | Val Loss: 0.1934 | Val Acc: 93.13%
Epoch 3 | Train Loss: 0.1582 | Train Acc: 93.85% | Val Loss: 0.1595 | Val Acc: 93.62%
Epoch 4 | Train Loss: 0.1486 | Train Acc: 94.51% | Val Loss: 0.1511 | Val Acc: 94.07%
Epoch 5 | Train Loss: 0.1340 | Train Acc: 95.13% | Val Loss: 0.1379 | Val Acc: 94.52%
Epoch 6 | Train Loss: 0.1226 | Train Acc: 95.32% | Val Loss: 0.1269 | Val Acc: 94.87%
Epoch 7 | Train Loss: 0.1143 | Train Acc: 95.71% | Val Loss: 0.1188 | Val Acc: 95.12%
Epoch 8 | Train Loss: 0.1215 | Train Acc: 95.66% | Val Loss: 0.1271 | Val Acc: 94.82%
Epoch 9 | Train Loss: 0.1001 | Train Acc: 96.19% | Val Loss: 0.1069 | Val Acc: 95.45%
Epoch 10 | Train Loss: 0.1046 | Train Acc: 96.37% | Val Loss: 0.1122 | Val Acc: 95.77%
95.76666666666667 95.72
