Epoch 1 | Train Loss: 0.3286 | Train Acc: 87.24% | Val Loss: 0.3306 | Val Acc: 87.33%
Epoch 2 | Train Loss: 0.2430 | Train Acc: 90.64% | Val Loss: 0.2429 | Val Acc: 90.87%
Epoch 3 | Train Loss: 0.1986 | Train Acc: 92.12% | Val Loss: 0.1975 | Val Acc: 92.35%
Epoch 4 | Train Loss: 0.1805 | Train Acc: 92.66% | Val Loss: 0.1795 | Val Acc: 92.63%
Epoch 5 | Train Loss: 0.1651 | Train Acc: 93.40% | Val Loss: 0.1653 | Val Acc: 93.33%
Epoch 6 | Train Loss: 0.1432 | Train Acc: 94.14% | Val Loss: 0.1440 | Val Acc: 94.10%
Epoch 7 | Train Loss: 0.1324 | Train Acc: 94.57% | Val Loss: 0.1338 | Val Acc: 94.45%
Epoch 8 | Train Loss: 0.1263 | Train Acc: 95.04% | Val Loss: 0.1280 | Val Acc: 94.95%
Epoch 9 | Train Loss: 0.1280 | Train Acc: 95.41% | Val Loss: 0.1307 | Val Acc: 95.03%
Epoch 10 | Train Loss: 0.1188 | Train Acc: 95.67% | Val Loss: 0.1220 | Val Acc: 95.20%
95.19999999999999 95.34
