Epoch 1 | Train Loss: 0.2510 | Train Acc: 90.68% | Val Loss: 0.2539 | Val Acc: 90.55%
Epoch 2 | Train Loss: 0.2072 | Train Acc: 92.23% | Val Loss: 0.2091 | Val Acc: 92.12%
Epoch 3 | Train Loss: 0.1803 | Train Acc: 93.24% | Val Loss: 0.1829 | Val Acc: 93.18%
Epoch 4 | Train Loss: 0.1669 | Train Acc: 93.73% | Val Loss: 0.1714 | Val Acc: 93.38%
Epoch 5 | Train Loss: 0.1567 | Train Acc: 93.86% | Val Loss: 0.1624 | Val Acc: 93.48%
Epoch 6 | Train Loss: 0.1484 | Train Acc: 94.54% | Val Loss: 0.1561 | Val Acc: 93.95%
Epoch 7 | Train Loss: 0.1346 | Train Acc: 95.13% | Val Loss: 0.1440 | Val Acc: 94.25%
Epoch 8 | Train Loss: 0.1314 | Train Acc: 95.48% | Val Loss: 0.1428 | Val Acc: 94.62%
Epoch 9 | Train Loss: 0.1199 | Train Acc: 95.86% | Val Loss: 0.1314 | Val Acc: 95.17%
Epoch 10 | Train Loss: 0.1107 | Train Acc: 96.29% | Val Loss: 0.1229 | Val Acc: 95.65%
95.65 95.52000000000001
