Epoch 1 | Train Loss: 0.9834 | Train Acc: 22.27% | Val Loss: 0.9809 | Val Acc: 22.42%
Epoch 2 | Train Loss: 0.8943 | Train Acc: 32.63% | Val Loss: 0.8901 | Val Acc: 33.02%
Epoch 3 | Train Loss: 0.8413 | Train Acc: 40.08% | Val Loss: 0.8367 | Val Acc: 40.72%
Epoch 4 | Train Loss: 0.8010 | Train Acc: 45.70% | Val Loss: 0.7964 | Val Acc: 46.22%
Epoch 5 | Train Loss: 0.7679 | Train Acc: 50.09% | Val Loss: 0.7635 | Val Acc: 51.17%
Epoch 6 | Train Loss: 0.7396 | Train Acc: 53.95% | Val Loss: 0.7355 | Val Acc: 54.57%
Epoch 7 | Train Loss: 0.7149 | Train Acc: 57.14% | Val Loss: 0.7110 | Val Acc: 57.68%
Epoch 8 | Train Loss: 0.6929 | Train Acc: 59.90% | Val Loss: 0.6892 | Val Acc: 60.68%
Epoch 9 | Train Loss: 0.6731 | Train Acc: 62.24% | Val Loss: 0.6696 | Val Acc: 62.88%
Epoch 10 | Train Loss: 0.6551 | Train Acc: 64.41% | Val Loss: 0.6517 | Val Acc: 65.02%
65.01666666666667 66.07
