Epoch 1 | Train Loss: 0.2646 | Train Acc: 83.51% | Val Loss: 0.2733 | Val Acc: 82.80%
Epoch 2 | Train Loss: 0.2196 | Train Acc: 85.61% | Val Loss: 0.2290 | Val Acc: 84.87%
Epoch 3 | Train Loss: 0.2072 | Train Acc: 86.71% | Val Loss: 0.2169 | Val Acc: 86.00%
Epoch 4 | Train Loss: 0.1905 | Train Acc: 87.53% | Val Loss: 0.2018 | Val Acc: 86.53%
Epoch 5 | Train Loss: 0.1999 | Train Acc: 88.01% | Val Loss: 0.2121 | Val Acc: 87.15%
Epoch 6 | Train Loss: 0.1818 | Train Acc: 88.29% | Val Loss: 0.1972 | Val Acc: 87.07%
Epoch 7 | Train Loss: 0.1730 | Train Acc: 88.86% | Val Loss: 0.1906 | Val Acc: 87.80%
Epoch 8 | Train Loss: 0.1745 | Train Acc: 89.28% | Val Loss: 0.1936 | Val Acc: 87.72%
Epoch 9 | Train Loss: 0.1812 | Train Acc: 88.58% | Val Loss: 0.2007 | Val Acc: 86.92%
Epoch 10 | Train Loss: 0.1655 | Train Acc: 89.74% | Val Loss: 0.1862 | Val Acc: 88.27%
88.26666666666667 87.44
