Epoch 1 | Train Loss: 1.1046 | Train Acc: 9.96% | Val Loss: 1.1026 | Val Acc: 10.35%
Epoch 2 | Train Loss: 1.3257 | Train Acc: 9.99% | Val Loss: 1.3215 | Val Acc: 10.13%
Epoch 3 | Train Loss: 1.6527 | Train Acc: 9.95% | Val Loss: 1.6485 | Val Acc: 10.45%
Epoch 4 | Train Loss: 1.3323 | Train Acc: 10.01% | Val Loss: 1.3246 | Val Acc: 9.95%
Epoch 5 | Train Loss: 2.0909 | Train Acc: 9.96% | Val Loss: 2.0803 | Val Acc: 10.35%
Epoch 6 | Train Loss: 1.2715 | Train Acc: 10.02% | Val Loss: 1.2755 | Val Acc: 9.78%
Epoch 7 | Train Loss: 1.6152 | Train Acc: 9.96% | Val Loss: 1.6144 | Val Acc: 10.32%
Epoch 8 | Train Loss: 1.6143 | Train Acc: 9.98% | Val Loss: 1.6174 | Val Acc: 10.18%
Epoch 9 | Train Loss: 1.1978 | Train Acc: 10.02% | Val Loss: 1.1922 | Val Acc: 9.83%
Epoch 10 | Train Loss: 1.8973 | Train Acc: 9.98% | Val Loss: 1.8803 | Val Acc: 10.18%
10.183333333333334 10.0
