Epoch 1 | Train Loss: 0.2379 | Train Acc: 90.40% | Val Loss: 0.2376 | Val Acc: 90.75%
Epoch 2 | Train Loss: 0.2208 | Train Acc: 90.73% | Val Loss: 0.2220 | Val Acc: 90.70%
Epoch 3 | Train Loss: 0.2223 | Train Acc: 89.88% | Val Loss: 0.2214 | Val Acc: 90.52%
Epoch 4 | Train Loss: 0.2179 | Train Acc: 90.28% | Val Loss: 0.2175 | Val Acc: 90.40%
Epoch 5 | Train Loss: 0.2123 | Train Acc: 90.40% | Val Loss: 0.2119 | Val Acc: 90.52%
Epoch 6 | Train Loss: 0.2114 | Train Acc: 90.73% | Val Loss: 0.2129 | Val Acc: 90.57%
Epoch 7 | Train Loss: 0.2133 | Train Acc: 90.59% | Val Loss: 0.2121 | Val Acc: 90.88%
Epoch 8 | Train Loss: 0.2102 | Train Acc: 90.63% | Val Loss: 0.2092 | Val Acc: 90.72%
Epoch 9 | Train Loss: 0.2094 | Train Acc: 90.44% | Val Loss: 0.2090 | Val Acc: 90.62%
Epoch 10 | Train Loss: 0.2068 | Train Acc: 90.86% | Val Loss: 0.2071 | Val Acc: 91.03%
91.03333333333333 91.13
