Epoch 1 | Train Loss: 0.3255 | Train Acc: 79.34% | Val Loss: 0.3339 | Val Acc: 78.48%
Epoch 2 | Train Loss: 0.2641 | Train Acc: 84.42% | Val Loss: 0.2730 | Val Acc: 83.58%
Epoch 3 | Train Loss: 0.2399 | Train Acc: 85.33% | Val Loss: 0.2499 | Val Acc: 84.40%
Epoch 4 | Train Loss: 0.2278 | Train Acc: 85.75% | Val Loss: 0.2383 | Val Acc: 85.03%
Epoch 5 | Train Loss: 0.2230 | Train Acc: 86.24% | Val Loss: 0.2348 | Val Acc: 85.38%
Epoch 6 | Train Loss: 0.2088 | Train Acc: 86.88% | Val Loss: 0.2231 | Val Acc: 86.00%
Epoch 7 | Train Loss: 0.2081 | Train Acc: 87.39% | Val Loss: 0.2221 | Val Acc: 86.37%
Epoch 8 | Train Loss: 0.1913 | Train Acc: 87.75% | Val Loss: 0.2072 | Val Acc: 86.48%
Epoch 9 | Train Loss: 0.2034 | Train Acc: 87.62% | Val Loss: 0.2197 | Val Acc: 86.35%
Epoch 10 | Train Loss: 0.1935 | Train Acc: 88.23% | Val Loss: 0.2117 | Val Acc: 86.82%
86.81666666666666 86.17
