Epoch 1 | Train Loss: 4.0677 | Train Acc: 10.09% | Val Loss: 4.0987 | Val Acc: 9.17%
Epoch 2 | Train Loss: 3.1321 | Train Acc: 10.09% | Val Loss: 3.1579 | Val Acc: 9.17%
Epoch 3 | Train Loss: 2.4797 | Train Acc: 10.09% | Val Loss: 2.5014 | Val Acc: 9.17%
Epoch 4 | Train Loss: 2.0216 | Train Acc: 10.09% | Val Loss: 2.0398 | Val Acc: 9.17%
Epoch 5 | Train Loss: 1.6986 | Train Acc: 10.09% | Val Loss: 1.7139 | Val Acc: 9.17%
Epoch 6 | Train Loss: 1.4697 | Train Acc: 10.09% | Val Loss: 1.4825 | Val Acc: 9.17%
Epoch 7 | Train Loss: 1.3072 | Train Acc: 10.09% | Val Loss: 1.3180 | Val Acc: 9.17%
Epoch 8 | Train Loss: 1.1914 | Train Acc: 10.09% | Val Loss: 1.2005 | Val Acc: 9.17%
Epoch 9 | Train Loss: 1.1088 | Train Acc: 10.09% | Val Loss: 1.1164 | Val Acc: 9.17%
Epoch 10 | Train Loss: 1.0498 | Train Acc: 10.09% | Val Loss: 1.0562 | Val Acc: 9.17%
9.166666666666666 10.0
