Epoch 1 | Train Loss: 0.4186 | Train Acc: 75.40% | Val Loss: 0.4250 | Val Acc: 74.20%
Epoch 2 | Train Loss: 0.3614 | Train Acc: 78.95% | Val Loss: 0.3691 | Val Acc: 78.40%
Epoch 3 | Train Loss: 0.3285 | Train Acc: 81.27% | Val Loss: 0.3359 | Val Acc: 80.97%
Epoch 4 | Train Loss: 0.3097 | Train Acc: 82.16% | Val Loss: 0.3166 | Val Acc: 81.60%
Epoch 5 | Train Loss: 0.2962 | Train Acc: 82.57% | Val Loss: 0.3027 | Val Acc: 81.93%
Epoch 6 | Train Loss: 0.2855 | Train Acc: 82.98% | Val Loss: 0.2917 | Val Acc: 82.32%
Epoch 7 | Train Loss: 0.2771 | Train Acc: 83.51% | Val Loss: 0.2834 | Val Acc: 82.83%
Epoch 8 | Train Loss: 0.2700 | Train Acc: 83.79% | Val Loss: 0.2760 | Val Acc: 83.18%
Epoch 9 | Train Loss: 0.2649 | Train Acc: 84.04% | Val Loss: 0.2711 | Val Acc: 83.65%
Epoch 10 | Train Loss: 0.2605 | Train Acc: 84.30% | Val Loss: 0.2666 | Val Acc: 83.48%
83.48333333333333 83.14
