Epoch 1 | Train Loss: 0.3945 | Train Acc: 79.06% | Val Loss: 0.4057 | Val Acc: 78.75%
Epoch 2 | Train Loss: 0.3419 | Train Acc: 81.65% | Val Loss: 0.3509 | Val Acc: 81.05%
Epoch 3 | Train Loss: 0.3166 | Train Acc: 82.74% | Val Loss: 0.3250 | Val Acc: 82.23%
Epoch 4 | Train Loss: 0.3022 | Train Acc: 83.76% | Val Loss: 0.3110 | Val Acc: 83.05%
Epoch 5 | Train Loss: 0.2892 | Train Acc: 84.22% | Val Loss: 0.2979 | Val Acc: 83.63%
Epoch 6 | Train Loss: 0.2781 | Train Acc: 84.70% | Val Loss: 0.2874 | Val Acc: 84.02%
Epoch 7 | Train Loss: 0.2703 | Train Acc: 85.01% | Val Loss: 0.2795 | Val Acc: 84.35%
Epoch 8 | Train Loss: 0.2627 | Train Acc: 85.43% | Val Loss: 0.2729 | Val Acc: 84.58%
Epoch 9 | Train Loss: 0.2560 | Train Acc: 85.68% | Val Loss: 0.2667 | Val Acc: 84.73%
Epoch 10 | Train Loss: 0.2509 | Train Acc: 86.04% | Val Loss: 0.2620 | Val Acc: 85.27%
85.26666666666667 84.3
