Epoch 1 | Train Loss: 0.3249 | Train Acc: 80.71% | Val Loss: 0.3306 | Val Acc: 80.33%
Epoch 2 | Train Loss: 0.2585 | Train Acc: 84.50% | Val Loss: 0.2641 | Val Acc: 84.10%
Epoch 3 | Train Loss: 0.2543 | Train Acc: 84.77% | Val Loss: 0.2614 | Val Acc: 84.23%
Epoch 4 | Train Loss: 0.2257 | Train Acc: 86.11% | Val Loss: 0.2336 | Val Acc: 85.43%
Epoch 5 | Train Loss: 0.2256 | Train Acc: 86.61% | Val Loss: 0.2353 | Val Acc: 85.60%
Epoch 6 | Train Loss: 0.2307 | Train Acc: 86.54% | Val Loss: 0.2412 | Val Acc: 85.97%
Epoch 7 | Train Loss: 0.2014 | Train Acc: 87.68% | Val Loss: 0.2129 | Val Acc: 86.88%
Epoch 8 | Train Loss: 0.1990 | Train Acc: 87.71% | Val Loss: 0.2114 | Val Acc: 86.73%
Epoch 9 | Train Loss: 0.2017 | Train Acc: 88.00% | Val Loss: 0.2157 | Val Acc: 87.00%
Epoch 10 | Train Loss: 0.1903 | Train Acc: 88.56% | Val Loss: 0.2054 | Val Acc: 87.60%
87.6 86.63
