Epoch 1 | Train Loss: 0.2699 | Train Acc: 83.51% | Val Loss: 0.2781 | Val Acc: 82.60%
Epoch 2 | Train Loss: 0.2491 | Train Acc: 85.20% | Val Loss: 0.2579 | Val Acc: 84.70%
Epoch 3 | Train Loss: 0.2549 | Train Acc: 85.02% | Val Loss: 0.2637 | Val Acc: 84.22%
Epoch 4 | Train Loss: 0.2340 | Train Acc: 86.31% | Val Loss: 0.2457 | Val Acc: 85.53%
Epoch 5 | Train Loss: 0.2054 | Train Acc: 87.45% | Val Loss: 0.2187 | Val Acc: 86.32%
Epoch 6 | Train Loss: 0.2035 | Train Acc: 87.85% | Val Loss: 0.2185 | Val Acc: 86.58%
Epoch 7 | Train Loss: 0.1879 | Train Acc: 88.46% | Val Loss: 0.2052 | Val Acc: 86.95%
Epoch 8 | Train Loss: 0.2026 | Train Acc: 88.02% | Val Loss: 0.2208 | Val Acc: 86.98%
Epoch 9 | Train Loss: 0.1946 | Train Acc: 88.60% | Val Loss: 0.2146 | Val Acc: 87.12%
Epoch 10 | Train Loss: 0.1794 | Train Acc: 89.18% | Val Loss: 0.1999 | Val Acc: 87.67%
87.66666666666667 86.72999999999999
