Epoch 1 | Train Loss: 0.3753 | Train Acc: 80.11% | Val Loss: 0.3847 | Val Acc: 79.42%
Epoch 2 | Train Loss: 0.2817 | Train Acc: 83.78% | Val Loss: 0.2892 | Val Acc: 83.28%
Epoch 3 | Train Loss: 0.2742 | Train Acc: 85.04% | Val Loss: 0.2848 | Val Acc: 84.42%
Epoch 4 | Train Loss: 0.2788 | Train Acc: 85.91% | Val Loss: 0.2901 | Val Acc: 85.23%
Epoch 5 | Train Loss: 0.2504 | Train Acc: 86.31% | Val Loss: 0.2652 | Val Acc: 85.35%
Epoch 6 | Train Loss: 0.2225 | Train Acc: 87.02% | Val Loss: 0.2367 | Val Acc: 86.15%
Epoch 7 | Train Loss: 0.2222 | Train Acc: 86.90% | Val Loss: 0.2379 | Val Acc: 85.85%
Epoch 8 | Train Loss: 0.1995 | Train Acc: 87.92% | Val Loss: 0.2174 | Val Acc: 86.28%
Epoch 9 | Train Loss: 0.1924 | Train Acc: 88.24% | Val Loss: 0.2102 | Val Acc: 87.00%
Epoch 10 | Train Loss: 0.2065 | Train Acc: 87.96% | Val Loss: 0.2266 | Val Acc: 86.53%
86.53333333333333 86.0
