Epoch 1 | Train Loss: 0.3804 | Train Acc: 79.71% | Val Loss: 0.3855 | Val Acc: 79.98%
Epoch 2 | Train Loss: 0.3434 | Train Acc: 81.63% | Val Loss: 0.3484 | Val Acc: 81.48%
Epoch 3 | Train Loss: 0.3274 | Train Acc: 82.28% | Val Loss: 0.3318 | Val Acc: 82.17%
Epoch 4 | Train Loss: 0.3112 | Train Acc: 83.04% | Val Loss: 0.3159 | Val Acc: 82.53%
Epoch 5 | Train Loss: 0.3023 | Train Acc: 83.34% | Val Loss: 0.3072 | Val Acc: 83.12%
Epoch 6 | Train Loss: 0.2959 | Train Acc: 83.73% | Val Loss: 0.3010 | Val Acc: 83.32%
Epoch 7 | Train Loss: 0.2868 | Train Acc: 83.94% | Val Loss: 0.2921 | Val Acc: 83.75%
Epoch 8 | Train Loss: 0.2809 | Train Acc: 84.17% | Val Loss: 0.2867 | Val Acc: 84.05%
Epoch 9 | Train Loss: 0.2770 | Train Acc: 84.47% | Val Loss: 0.2828 | Val Acc: 83.92%
Epoch 10 | Train Loss: 0.2690 | Train Acc: 84.47% | Val Loss: 0.2749 | Val Acc: 84.22%
84.21666666666667 83.36
