Epoch 1 | Train Loss: 0.3275 | Train Acc: 80.03% | Val Loss: 0.3339 | Val Acc: 79.93%
Epoch 2 | Train Loss: 0.2895 | Train Acc: 82.46% | Val Loss: 0.2956 | Val Acc: 82.00%
Epoch 3 | Train Loss: 0.2749 | Train Acc: 83.65% | Val Loss: 0.2806 | Val Acc: 83.07%
Epoch 4 | Train Loss: 0.2579 | Train Acc: 84.68% | Val Loss: 0.2647 | Val Acc: 84.15%
Epoch 5 | Train Loss: 0.2472 | Train Acc: 84.98% | Val Loss: 0.2544 | Val Acc: 84.30%
Epoch 6 | Train Loss: 0.2376 | Train Acc: 85.63% | Val Loss: 0.2455 | Val Acc: 84.68%
Epoch 7 | Train Loss: 0.2381 | Train Acc: 86.01% | Val Loss: 0.2474 | Val Acc: 85.00%
Epoch 8 | Train Loss: 0.2282 | Train Acc: 86.56% | Val Loss: 0.2381 | Val Acc: 85.57%
Epoch 9 | Train Loss: 0.2233 | Train Acc: 86.61% | Val Loss: 0.2332 | Val Acc: 85.73%
Epoch 10 | Train Loss: 0.2231 | Train Acc: 86.50% | Val Loss: 0.2343 | Val Acc: 85.73%
85.73333333333333 85.34
