Epoch 1 | Train Loss: 0.1922 | Train Acc: 93.11% | Val Loss: 0.1925 | Val Acc: 93.43%
Epoch 2 | Train Loss: 0.1495 | Train Acc: 94.75% | Val Loss: 0.1520 | Val Acc: 94.80%
Epoch 3 | Train Loss: 0.1264 | Train Acc: 95.61% | Val Loss: 0.1305 | Val Acc: 95.40%
Epoch 4 | Train Loss: 0.1108 | Train Acc: 96.25% | Val Loss: 0.1163 | Val Acc: 95.78%
Epoch 5 | Train Loss: 0.0991 | Train Acc: 96.70% | Val Loss: 0.1063 | Val Acc: 96.05%
Epoch 6 | Train Loss: 0.0897 | Train Acc: 97.02% | Val Loss: 0.0974 | Val Acc: 96.55%
Epoch 7 | Train Loss: 0.0821 | Train Acc: 97.35% | Val Loss: 0.0909 | Val Acc: 96.98%
Epoch 8 | Train Loss: 0.0760 | Train Acc: 97.51% | Val Loss: 0.0856 | Val Acc: 96.98%
Epoch 9 | Train Loss: 0.0702 | Train Acc: 97.80% | Val Loss: 0.0807 | Val Acc: 97.40%
Epoch 10 | Train Loss: 0.0659 | Train Acc: 97.97% | Val Loss: 0.0770 | Val Acc: 97.52%
97.51666666666667 96.99
