Epoch 1 | Train Loss: 0.7170 | Train Acc: 59.23% | Val Loss: 0.7176 | Val Acc: 59.37%
Epoch 2 | Train Loss: 0.7384 | Train Acc: 50.99% | Val Loss: 0.7388 | Val Acc: 50.78%
Epoch 3 | Train Loss: 0.7465 | Train Acc: 45.58% | Val Loss: 0.7466 | Val Acc: 45.47%
Epoch 4 | Train Loss: 0.7578 | Train Acc: 44.69% | Val Loss: 0.7579 | Val Acc: 44.62%
Epoch 5 | Train Loss: 0.7567 | Train Acc: 46.87% | Val Loss: 0.7568 | Val Acc: 46.72%
Epoch 6 | Train Loss: 0.7588 | Train Acc: 44.91% | Val Loss: 0.7597 | Val Acc: 44.27%
Epoch 7 | Train Loss: 0.7566 | Train Acc: 44.17% | Val Loss: 0.7573 | Val Acc: 44.08%
Epoch 8 | Train Loss: 0.7603 | Train Acc: 48.98% | Val Loss: 0.7606 | Val Acc: 48.72%
Epoch 9 | Train Loss: 0.7597 | Train Acc: 48.57% | Val Loss: 0.7605 | Val Acc: 48.58%
Epoch 10 | Train Loss: 0.7609 | Train Acc: 47.19% | Val Loss: 0.7618 | Val Acc: 46.88%
46.88333333333333 46.94
