Epoch 1 | Train Loss: 0.2165 | Train Acc: 91.25% | Val Loss: 0.2142 | Val Acc: 91.50%
Epoch 2 | Train Loss: 0.1542 | Train Acc: 93.12% | Val Loss: 0.1533 | Val Acc: 93.03%
Epoch 3 | Train Loss: 0.1309 | Train Acc: 94.34% | Val Loss: 0.1317 | Val Acc: 94.00%
Epoch 4 | Train Loss: 0.1242 | Train Acc: 94.90% | Val Loss: 0.1259 | Val Acc: 94.57%
Epoch 5 | Train Loss: 0.1201 | Train Acc: 95.46% | Val Loss: 0.1225 | Val Acc: 95.20%
Epoch 6 | Train Loss: 0.0965 | Train Acc: 96.18% | Val Loss: 0.1003 | Val Acc: 95.85%
Epoch 7 | Train Loss: 0.0919 | Train Acc: 96.33% | Val Loss: 0.0967 | Val Acc: 95.82%
Epoch 8 | Train Loss: 0.0937 | Train Acc: 96.75% | Val Loss: 0.0996 | Val Acc: 96.10%
Epoch 9 | Train Loss: 0.0801 | Train Acc: 96.97% | Val Loss: 0.0866 | Val Acc: 96.17%
Epoch 10 | Train Loss: 0.0798 | Train Acc: 97.07% | Val Loss: 0.0870 | Val Acc: 96.32%
96.31666666666666 96.14
