Epoch 1 | Train Loss: 0.3218 | Train Acc: 82.18% | Val Loss: 0.3278 | Val Acc: 81.85%
Epoch 2 | Train Loss: 0.2867 | Train Acc: 83.47% | Val Loss: 0.2934 | Val Acc: 83.15%
Epoch 3 | Train Loss: 0.2775 | Train Acc: 84.66% | Val Loss: 0.2860 | Val Acc: 84.37%
Epoch 4 | Train Loss: 0.2569 | Train Acc: 85.52% | Val Loss: 0.2647 | Val Acc: 85.05%
Epoch 5 | Train Loss: 0.2373 | Train Acc: 86.33% | Val Loss: 0.2466 | Val Acc: 85.98%
Epoch 6 | Train Loss: 0.2224 | Train Acc: 87.23% | Val Loss: 0.2331 | Val Acc: 86.58%
Epoch 7 | Train Loss: 0.2130 | Train Acc: 87.95% | Val Loss: 0.2242 | Val Acc: 87.10%
Epoch 8 | Train Loss: 0.2178 | Train Acc: 87.72% | Val Loss: 0.2289 | Val Acc: 86.98%
Epoch 9 | Train Loss: 0.2001 | Train Acc: 88.26% | Val Loss: 0.2124 | Val Acc: 87.37%
Epoch 10 | Train Loss: 0.2058 | Train Acc: 88.47% | Val Loss: 0.2200 | Val Acc: 87.67%
87.66666666666667 86.50999999999999
