Epoch 1 | Train Loss: 0.1869 | Train Acc: 94.03% | Val Loss: 0.1906 | Val Acc: 94.02%
Epoch 2 | Train Loss: 0.1487 | Train Acc: 95.48% | Val Loss: 0.1536 | Val Acc: 95.37%
Epoch 3 | Train Loss: 0.1293 | Train Acc: 96.21% | Val Loss: 0.1359 | Val Acc: 95.95%
Epoch 4 | Train Loss: 0.1158 | Train Acc: 96.70% | Val Loss: 0.1232 | Val Acc: 96.45%
Epoch 5 | Train Loss: 0.1069 | Train Acc: 97.03% | Val Loss: 0.1159 | Val Acc: 96.80%
Epoch 6 | Train Loss: 0.0993 | Train Acc: 97.34% | Val Loss: 0.1092 | Val Acc: 97.00%
Epoch 7 | Train Loss: 0.0933 | Train Acc: 97.54% | Val Loss: 0.1041 | Val Acc: 97.25%
Epoch 8 | Train Loss: 0.0884 | Train Acc: 97.73% | Val Loss: 0.1000 | Val Acc: 97.42%
Epoch 9 | Train Loss: 0.0866 | Train Acc: 97.84% | Val Loss: 0.1000 | Val Acc: 97.32%
Epoch 10 | Train Loss: 0.0795 | Train Acc: 98.02% | Val Loss: 0.0941 | Val Acc: 97.37%
97.36666666666667 97.07000000000001
