Epoch 1 | Train Loss: 0.4059 | Train Acc: 76.75% | Val Loss: 0.4124 | Val Acc: 76.78%
Epoch 2 | Train Loss: 0.3514 | Train Acc: 79.91% | Val Loss: 0.3576 | Val Acc: 79.60%
Epoch 3 | Train Loss: 0.3274 | Train Acc: 80.72% | Val Loss: 0.3335 | Val Acc: 80.32%
Epoch 4 | Train Loss: 0.3074 | Train Acc: 81.98% | Val Loss: 0.3133 | Val Acc: 81.57%
Epoch 5 | Train Loss: 0.2957 | Train Acc: 82.48% | Val Loss: 0.3013 | Val Acc: 82.07%
Epoch 6 | Train Loss: 0.2871 | Train Acc: 82.99% | Val Loss: 0.2927 | Val Acc: 82.52%
Epoch 7 | Train Loss: 0.2801 | Train Acc: 83.27% | Val Loss: 0.2859 | Val Acc: 82.95%
Epoch 8 | Train Loss: 0.2721 | Train Acc: 83.64% | Val Loss: 0.2777 | Val Acc: 83.32%
Epoch 9 | Train Loss: 0.2665 | Train Acc: 83.93% | Val Loss: 0.2722 | Val Acc: 83.53%
Epoch 10 | Train Loss: 0.2632 | Train Acc: 84.07% | Val Loss: 0.2691 | Val Acc: 83.53%
83.53333333333333 83.07
