Epoch 1 | Train Loss: 0.1669 | Train Acc: 92.08% | Val Loss: 0.1648 | Val Acc: 92.05%
Epoch 2 | Train Loss: 0.1192 | Train Acc: 94.05% | Val Loss: 0.1194 | Val Acc: 93.58%
Epoch 3 | Train Loss: 0.1038 | Train Acc: 94.94% | Val Loss: 0.1063 | Val Acc: 94.57%
Epoch 4 | Train Loss: 0.0876 | Train Acc: 95.70% | Val Loss: 0.0910 | Val Acc: 95.22%
Epoch 5 | Train Loss: 0.0840 | Train Acc: 96.21% | Val Loss: 0.0893 | Val Acc: 95.65%
Epoch 6 | Train Loss: 0.0724 | Train Acc: 96.67% | Val Loss: 0.0782 | Val Acc: 96.08%
Epoch 7 | Train Loss: 0.0654 | Train Acc: 97.01% | Val Loss: 0.0723 | Val Acc: 96.37%
Epoch 8 | Train Loss: 0.0604 | Train Acc: 97.33% | Val Loss: 0.0678 | Val Acc: 96.98%
Epoch 9 | Train Loss: 0.0525 | Train Acc: 97.65% | Val Loss: 0.0613 | Val Acc: 96.95%
Epoch 10 | Train Loss: 0.0504 | Train Acc: 97.90% | Val Loss: 0.0604 | Val Acc: 97.18%
97.18333333333334 96.97
