Epoch 1 | Train Loss: 0.3227 | Train Acc: 87.84% | Val Loss: 0.3237 | Val Acc: 88.32%
Epoch 2 | Train Loss: 0.3184 | Train Acc: 88.08% | Val Loss: 0.3198 | Val Acc: 88.37%
Epoch 3 | Train Loss: 0.3193 | Train Acc: 87.61% | Val Loss: 0.3211 | Val Acc: 87.63%
Epoch 4 | Train Loss: 0.3152 | Train Acc: 87.86% | Val Loss: 0.3165 | Val Acc: 88.18%
Epoch 5 | Train Loss: 0.3138 | Train Acc: 87.76% | Val Loss: 0.3156 | Val Acc: 87.95%
Epoch 6 | Train Loss: 0.3092 | Train Acc: 87.59% | Val Loss: 0.3107 | Val Acc: 87.98%
Epoch 7 | Train Loss: 0.3089 | Train Acc: 87.89% | Val Loss: 0.3101 | Val Acc: 88.30%
Epoch 8 | Train Loss: 0.3057 | Train Acc: 88.04% | Val Loss: 0.3071 | Val Acc: 88.37%
Epoch 9 | Train Loss: 0.3050 | Train Acc: 88.20% | Val Loss: 0.3072 | Val Acc: 88.40%
Epoch 10 | Train Loss: 0.3034 | Train Acc: 88.03% | Val Loss: 0.3041 | Val Acc: 88.55%
88.55 88.53999999999999
