Epoch 1 | Train Loss: 1.1682 | Train Acc: 12.82% | Val Loss: 1.1653 | Val Acc: 12.88%
Epoch 2 | Train Loss: 1.0037 | Train Acc: 13.83% | Val Loss: 1.0051 | Val Acc: 13.97%
Epoch 3 | Train Loss: 0.9746 | Train Acc: 15.01% | Val Loss: 0.9770 | Val Acc: 15.18%
Epoch 4 | Train Loss: 0.9527 | Train Acc: 16.93% | Val Loss: 0.9553 | Val Acc: 17.00%
Epoch 5 | Train Loss: 0.9326 | Train Acc: 19.06% | Val Loss: 0.9353 | Val Acc: 19.30%
Epoch 6 | Train Loss: 0.9139 | Train Acc: 21.49% | Val Loss: 0.9167 | Val Acc: 21.73%
Epoch 7 | Train Loss: 0.8965 | Train Acc: 24.05% | Val Loss: 0.8993 | Val Acc: 24.60%
Epoch 8 | Train Loss: 0.8802 | Train Acc: 26.85% | Val Loss: 0.8831 | Val Acc: 27.25%
Epoch 9 | Train Loss: 0.8650 | Train Acc: 29.58% | Val Loss: 0.8679 | Val Acc: 29.67%
Epoch 10 | Train Loss: 0.8507 | Train Acc: 32.29% | Val Loss: 0.8537 | Val Acc: 32.25%
32.25 32.53
