Epoch 1 | Train Loss: 0.2209 | Train Acc: 92.61% | Val Loss: 0.2237 | Val Acc: 92.92%
Epoch 2 | Train Loss: 0.1712 | Train Acc: 94.24% | Val Loss: 0.1759 | Val Acc: 93.90%
Epoch 3 | Train Loss: 0.1462 | Train Acc: 95.06% | Val Loss: 0.1515 | Val Acc: 94.60%
Epoch 4 | Train Loss: 0.1306 | Train Acc: 95.74% | Val Loss: 0.1374 | Val Acc: 95.38%
Epoch 5 | Train Loss: 0.1230 | Train Acc: 96.01% | Val Loss: 0.1315 | Val Acc: 95.58%
Epoch 6 | Train Loss: 0.1159 | Train Acc: 96.44% | Val Loss: 0.1261 | Val Acc: 95.58%
Epoch 7 | Train Loss: 0.1098 | Train Acc: 96.65% | Val Loss: 0.1215 | Val Acc: 95.83%
Epoch 8 | Train Loss: 0.1000 | Train Acc: 96.93% | Val Loss: 0.1121 | Val Acc: 96.12%
Epoch 9 | Train Loss: 0.0965 | Train Acc: 97.21% | Val Loss: 0.1096 | Val Acc: 96.42%
Epoch 10 | Train Loss: 0.0931 | Train Acc: 97.21% | Val Loss: 0.1074 | Val Acc: 96.45%
96.45 96.39999999999999
