Epoch 1 | Train Loss: 0.3191 | Train Acc: 82.05% | Val Loss: 0.3247 | Val Acc: 81.37%
Epoch 2 | Train Loss: 0.3284 | Train Acc: 82.01% | Val Loss: 0.3337 | Val Acc: 81.77%
Epoch 3 | Train Loss: 0.2517 | Train Acc: 85.17% | Val Loss: 0.2591 | Val Acc: 84.65%
Epoch 4 | Train Loss: 0.2471 | Train Acc: 85.40% | Val Loss: 0.2553 | Val Acc: 85.12%
Epoch 5 | Train Loss: 0.2332 | Train Acc: 86.33% | Val Loss: 0.2424 | Val Acc: 85.85%
Epoch 6 | Train Loss: 0.2267 | Train Acc: 86.31% | Val Loss: 0.2375 | Val Acc: 85.50%
Epoch 7 | Train Loss: 0.2188 | Train Acc: 86.94% | Val Loss: 0.2305 | Val Acc: 86.33%
Epoch 8 | Train Loss: 0.2099 | Train Acc: 87.58% | Val Loss: 0.2230 | Val Acc: 86.48%
Epoch 9 | Train Loss: 0.2356 | Train Acc: 86.79% | Val Loss: 0.2506 | Val Acc: 85.63%
Epoch 10 | Train Loss: 0.2239 | Train Acc: 87.90% | Val Loss: 0.2395 | Val Acc: 86.63%
86.63333333333333 85.77
