Epoch 1 | Train Loss: 0.2225 | Train Acc: 91.19% | Val Loss: 0.2226 | Val Acc: 91.28%
Epoch 2 | Train Loss: 0.2139 | Train Acc: 91.66% | Val Loss: 0.2142 | Val Acc: 91.57%
Epoch 3 | Train Loss: 0.2118 | Train Acc: 91.24% | Val Loss: 0.2120 | Val Acc: 91.33%
Epoch 4 | Train Loss: 0.2071 | Train Acc: 91.51% | Val Loss: 0.2069 | Val Acc: 91.73%
Epoch 5 | Train Loss: 0.2094 | Train Acc: 91.47% | Val Loss: 0.2092 | Val Acc: 91.60%
Epoch 6 | Train Loss: 0.2076 | Train Acc: 91.42% | Val Loss: 0.2079 | Val Acc: 91.50%
Epoch 7 | Train Loss: 0.2079 | Train Acc: 91.44% | Val Loss: 0.2087 | Val Acc: 91.58%
Epoch 8 | Train Loss: 0.2066 | Train Acc: 91.62% | Val Loss: 0.2078 | Val Acc: 91.60%
Epoch 9 | Train Loss: 0.2053 | Train Acc: 91.47% | Val Loss: 0.2055 | Val Acc: 91.43%
Epoch 10 | Train Loss: 0.2047 | Train Acc: 91.34% | Val Loss: 0.2050 | Val Acc: 91.53%
91.53333333333333 91.82000000000001
