Epoch 1 | Train Loss: 0.2748 | Train Acc: 90.37% | Val Loss: 0.2756 | Val Acc: 90.68%
Epoch 2 | Train Loss: 0.2119 | Train Acc: 92.79% | Val Loss: 0.2124 | Val Acc: 93.08%
Epoch 3 | Train Loss: 0.1801 | Train Acc: 93.86% | Val Loss: 0.1816 | Val Acc: 94.03%
Epoch 4 | Train Loss: 0.1612 | Train Acc: 94.74% | Val Loss: 0.1638 | Val Acc: 94.75%
Epoch 5 | Train Loss: 0.1480 | Train Acc: 95.22% | Val Loss: 0.1510 | Val Acc: 95.05%
Epoch 6 | Train Loss: 0.1291 | Train Acc: 95.76% | Val Loss: 0.1342 | Val Acc: 95.50%
Epoch 7 | Train Loss: 0.1231 | Train Acc: 95.99% | Val Loss: 0.1285 | Val Acc: 95.73%
Epoch 8 | Train Loss: 0.1163 | Train Acc: 96.29% | Val Loss: 0.1229 | Val Acc: 96.05%
Epoch 9 | Train Loss: 0.1057 | Train Acc: 96.54% | Val Loss: 0.1121 | Val Acc: 96.32%
Epoch 10 | Train Loss: 0.0981 | Train Acc: 96.81% | Val Loss: 0.1058 | Val Acc: 96.40%
96.39999999999999 96.24000000000001
