Epoch 1 | Train Loss: 0.2423 | Train Acc: 91.01% | Val Loss: 0.2400 | Val Acc: 91.45%
Epoch 2 | Train Loss: 0.1751 | Train Acc: 93.11% | Val Loss: 0.1766 | Val Acc: 93.07%
Epoch 3 | Train Loss: 0.1068 | Train Acc: 95.03% | Val Loss: 0.1094 | Val Acc: 94.68%
Epoch 4 | Train Loss: 0.1022 | Train Acc: 95.82% | Val Loss: 0.1059 | Val Acc: 95.53%
Epoch 5 | Train Loss: 0.0856 | Train Acc: 96.32% | Val Loss: 0.0919 | Val Acc: 95.70%
Epoch 6 | Train Loss: 0.0960 | Train Acc: 96.73% | Val Loss: 0.1043 | Val Acc: 96.02%
Epoch 7 | Train Loss: 0.0647 | Train Acc: 97.24% | Val Loss: 0.0738 | Val Acc: 96.55%
Epoch 8 | Train Loss: 0.0578 | Train Acc: 97.51% | Val Loss: 0.0690 | Val Acc: 96.62%
Epoch 9 | Train Loss: 0.0546 | Train Acc: 97.88% | Val Loss: 0.0669 | Val Acc: 97.00%
Epoch 10 | Train Loss: 0.0553 | Train Acc: 97.93% | Val Loss: 0.0693 | Val Acc: 96.97%
96.96666666666667 96.78999999999999
