Epoch 1 | Train Loss: 0.3416 | Train Acc: 78.34% | Val Loss: 0.3494 | Val Acc: 77.53%
Epoch 2 | Train Loss: 0.3411 | Train Acc: 78.43% | Val Loss: 0.3506 | Val Acc: 77.27%
Epoch 3 | Train Loss: 0.2649 | Train Acc: 84.00% | Val Loss: 0.2763 | Val Acc: 82.97%
Epoch 4 | Train Loss: 0.2466 | Train Acc: 85.37% | Val Loss: 0.2595 | Val Acc: 84.30%
Epoch 5 | Train Loss: 0.2369 | Train Acc: 86.03% | Val Loss: 0.2472 | Val Acc: 85.05%
Epoch 6 | Train Loss: 0.2126 | Train Acc: 86.87% | Val Loss: 0.2301 | Val Acc: 85.63%
Epoch 7 | Train Loss: 0.2245 | Train Acc: 85.80% | Val Loss: 0.2406 | Val Acc: 84.65%
Epoch 8 | Train Loss: 0.2054 | Train Acc: 87.01% | Val Loss: 0.2235 | Val Acc: 85.72%
Epoch 9 | Train Loss: 0.2001 | Train Acc: 87.05% | Val Loss: 0.2193 | Val Acc: 86.03%
Epoch 10 | Train Loss: 0.2261 | Train Acc: 85.77% | Val Loss: 0.2438 | Val Acc: 84.65%
84.65 83.41
