Epoch 1 | Train Loss: 0.2063 | Train Acc: 91.38% | Val Loss: 0.2045 | Val Acc: 91.67%
Epoch 2 | Train Loss: 0.1473 | Train Acc: 93.56% | Val Loss: 0.1464 | Val Acc: 93.58%
Epoch 3 | Train Loss: 0.1259 | Train Acc: 94.47% | Val Loss: 0.1282 | Val Acc: 94.32%
Epoch 4 | Train Loss: 0.1175 | Train Acc: 95.17% | Val Loss: 0.1205 | Val Acc: 94.90%
Epoch 5 | Train Loss: 0.1006 | Train Acc: 95.84% | Val Loss: 0.1051 | Val Acc: 95.43%
Epoch 6 | Train Loss: 0.0880 | Train Acc: 96.18% | Val Loss: 0.0935 | Val Acc: 95.63%
Epoch 7 | Train Loss: 0.0782 | Train Acc: 96.56% | Val Loss: 0.0848 | Val Acc: 95.97%
Epoch 8 | Train Loss: 0.0727 | Train Acc: 96.88% | Val Loss: 0.0803 | Val Acc: 96.33%
Epoch 9 | Train Loss: 0.0714 | Train Acc: 97.10% | Val Loss: 0.0802 | Val Acc: 96.32%
Epoch 10 | Train Loss: 0.0708 | Train Acc: 97.24% | Val Loss: 0.0813 | Val Acc: 96.22%
96.21666666666667 96.48
