Epoch 1 | Train Loss: 0.4774 | Train Acc: 81.48% | Val Loss: 0.4800 | Val Acc: 81.23%
Epoch 2 | Train Loss: 0.4995 | Train Acc: 82.69% | Val Loss: 0.5009 | Val Acc: 82.57%
Epoch 3 | Train Loss: 0.5162 | Train Acc: 82.53% | Val Loss: 0.5174 | Val Acc: 82.25%
Epoch 4 | Train Loss: 0.5282 | Train Acc: 79.60% | Val Loss: 0.5296 | Val Acc: 79.48%
Epoch 5 | Train Loss: 0.5361 | Train Acc: 79.53% | Val Loss: 0.5379 | Val Acc: 79.17%
Epoch 6 | Train Loss: 0.5433 | Train Acc: 77.54% | Val Loss: 0.5450 | Val Acc: 76.80%
Epoch 7 | Train Loss: 0.5498 | Train Acc: 78.00% | Val Loss: 0.5517 | Val Acc: 77.32%
Epoch 8 | Train Loss: 0.5509 | Train Acc: 76.83% | Val Loss: 0.5529 | Val Acc: 76.58%
Epoch 9 | Train Loss: 0.5542 | Train Acc: 76.96% | Val Loss: 0.5557 | Val Acc: 76.67%
Epoch 10 | Train Loss: 0.5562 | Train Acc: 71.36% | Val Loss: 0.5583 | Val Acc: 70.70%
70.7 71.91
