Epoch 1 | Train Loss: 0.2882 | Train Acc: 83.41% | Val Loss: 0.2923 | Val Acc: 83.12%
Epoch 2 | Train Loss: 0.2718 | Train Acc: 84.91% | Val Loss: 0.2794 | Val Acc: 84.25%
Epoch 3 | Train Loss: 0.2433 | Train Acc: 86.58% | Val Loss: 0.2561 | Val Acc: 85.62%
Epoch 4 | Train Loss: 0.2510 | Train Acc: 86.76% | Val Loss: 0.2651 | Val Acc: 85.77%
Epoch 5 | Train Loss: 0.2146 | Train Acc: 87.14% | Val Loss: 0.2289 | Val Acc: 86.35%
Epoch 6 | Train Loss: 0.2051 | Train Acc: 88.41% | Val Loss: 0.2206 | Val Acc: 87.55%
Epoch 7 | Train Loss: 0.1880 | Train Acc: 89.38% | Val Loss: 0.2071 | Val Acc: 88.02%
Epoch 8 | Train Loss: 0.2362 | Train Acc: 87.53% | Val Loss: 0.2570 | Val Acc: 86.10%
Epoch 9 | Train Loss: 0.1918 | Train Acc: 89.33% | Val Loss: 0.2155 | Val Acc: 87.63%
Epoch 10 | Train Loss: 0.2114 | Train Acc: 88.42% | Val Loss: 0.2370 | Val Acc: 86.90%
86.9 86.1
