Epoch 1 | Train Loss: 0.6941 | Train Acc: 59.56% | Val Loss: 0.6993 | Val Acc: 59.43%
Epoch 2 | Train Loss: 0.5892 | Train Acc: 70.59% | Val Loss: 0.5948 | Val Acc: 70.15%
Epoch 3 | Train Loss: 0.5144 | Train Acc: 74.71% | Val Loss: 0.5194 | Val Acc: 74.38%
Epoch 4 | Train Loss: 0.4765 | Train Acc: 74.98% | Val Loss: 0.4837 | Val Acc: 74.18%
Epoch 5 | Train Loss: 0.4454 | Train Acc: 78.25% | Val Loss: 0.4536 | Val Acc: 77.78%
Epoch 6 | Train Loss: 0.4281 | Train Acc: 78.70% | Val Loss: 0.4374 | Val Acc: 77.80%
Epoch 7 | Train Loss: 0.4144 | Train Acc: 79.72% | Val Loss: 0.4265 | Val Acc: 78.52%
Epoch 8 | Train Loss: 0.4637 | Train Acc: 78.71% | Val Loss: 0.4743 | Val Acc: 78.12%
Epoch 9 | Train Loss: 0.3713 | Train Acc: 81.38% | Val Loss: 0.3839 | Val Acc: 80.60%
Epoch 10 | Train Loss: 0.3676 | Train Acc: 81.53% | Val Loss: 0.3791 | Val Acc: 80.78%
80.78333333333333 80.31
