Epoch 1 | Train Loss: 0.6343 | Train Acc: 50.88% | Val Loss: 0.6395 | Val Acc: 50.52%
Epoch 2 | Train Loss: 0.5558 | Train Acc: 58.30% | Val Loss: 0.5625 | Val Acc: 57.27%
Epoch 3 | Train Loss: 0.5068 | Train Acc: 62.90% | Val Loss: 0.5158 | Val Acc: 61.63%
Epoch 4 | Train Loss: 0.4715 | Train Acc: 66.44% | Val Loss: 0.4796 | Val Acc: 65.13%
Epoch 5 | Train Loss: 0.4406 | Train Acc: 70.11% | Val Loss: 0.4485 | Val Acc: 69.40%
Epoch 6 | Train Loss: 0.4096 | Train Acc: 73.39% | Val Loss: 0.4162 | Val Acc: 72.53%
Epoch 7 | Train Loss: 0.3793 | Train Acc: 76.40% | Val Loss: 0.3850 | Val Acc: 75.68%
Epoch 8 | Train Loss: 0.3506 | Train Acc: 78.80% | Val Loss: 0.3556 | Val Acc: 78.33%
Epoch 9 | Train Loss: 0.3241 | Train Acc: 81.06% | Val Loss: 0.3264 | Val Acc: 80.67%
Epoch 10 | Train Loss: 0.2817 | Train Acc: 83.68% | Val Loss: 0.2842 | Val Acc: 83.22%
83.21666666666667 83.41
