Epoch 1 | Train Loss: 0.3362 | Train Acc: 81.39% | Val Loss: 0.3432 | Val Acc: 81.22%
Epoch 2 | Train Loss: 0.2962 | Train Acc: 83.33% | Val Loss: 0.3041 | Val Acc: 82.67%
Epoch 3 | Train Loss: 0.2746 | Train Acc: 84.36% | Val Loss: 0.2829 | Val Acc: 83.95%
Epoch 4 | Train Loss: 0.2593 | Train Acc: 85.08% | Val Loss: 0.2691 | Val Acc: 84.62%
Epoch 5 | Train Loss: 0.2485 | Train Acc: 85.56% | Val Loss: 0.2589 | Val Acc: 85.02%
Epoch 6 | Train Loss: 0.2401 | Train Acc: 86.11% | Val Loss: 0.2506 | Val Acc: 85.43%
Epoch 7 | Train Loss: 0.2341 | Train Acc: 86.55% | Val Loss: 0.2457 | Val Acc: 85.68%
Epoch 8 | Train Loss: 0.2264 | Train Acc: 86.96% | Val Loss: 0.2373 | Val Acc: 86.08%
Epoch 9 | Train Loss: 0.2215 | Train Acc: 87.17% | Val Loss: 0.2341 | Val Acc: 86.27%
Epoch 10 | Train Loss: 0.2166 | Train Acc: 87.47% | Val Loss: 0.2303 | Val Acc: 86.60%
86.6 85.77
