Epoch 1 | Train Loss: 0.1454 | Train Acc: 94.65% | Val Loss: 0.1482 | Val Acc: 94.32%
Epoch 2 | Train Loss: 0.1080 | Train Acc: 96.13% | Val Loss: 0.1149 | Val Acc: 95.57%
Epoch 3 | Train Loss: 0.0881 | Train Acc: 96.91% | Val Loss: 0.0964 | Val Acc: 96.43%
Epoch 4 | Train Loss: 0.0780 | Train Acc: 97.41% | Val Loss: 0.0886 | Val Acc: 96.63%
Epoch 5 | Train Loss: 0.0666 | Train Acc: 97.76% | Val Loss: 0.0800 | Val Acc: 96.77%
Epoch 6 | Train Loss: 0.0600 | Train Acc: 98.17% | Val Loss: 0.0745 | Val Acc: 97.20%
Epoch 7 | Train Loss: 0.0535 | Train Acc: 98.35% | Val Loss: 0.0686 | Val Acc: 97.52%
Epoch 8 | Train Loss: 0.0489 | Train Acc: 98.54% | Val Loss: 0.0650 | Val Acc: 97.50%
Epoch 9 | Train Loss: 0.0458 | Train Acc: 98.69% | Val Loss: 0.0640 | Val Acc: 97.52%
Epoch 10 | Train Loss: 0.0407 | Train Acc: 98.90% | Val Loss: 0.0592 | Val Acc: 97.90%
97.89999999999999 97.5
