Epoch 1 | Train Loss: 0.1916 | Train Acc: 93.17% | Val Loss: 0.1925 | Val Acc: 93.35%
Epoch 2 | Train Loss: 0.1477 | Train Acc: 94.83% | Val Loss: 0.1513 | Val Acc: 94.53%
Epoch 3 | Train Loss: 0.1246 | Train Acc: 95.66% | Val Loss: 0.1301 | Val Acc: 95.48%
Epoch 4 | Train Loss: 0.1092 | Train Acc: 96.25% | Val Loss: 0.1164 | Val Acc: 95.67%
Epoch 5 | Train Loss: 0.0984 | Train Acc: 96.65% | Val Loss: 0.1066 | Val Acc: 95.93%
Epoch 6 | Train Loss: 0.0889 | Train Acc: 97.05% | Val Loss: 0.0985 | Val Acc: 96.22%
Epoch 7 | Train Loss: 0.0808 | Train Acc: 97.29% | Val Loss: 0.0914 | Val Acc: 96.42%
Epoch 8 | Train Loss: 0.0743 | Train Acc: 97.57% | Val Loss: 0.0863 | Val Acc: 96.62%
Epoch 9 | Train Loss: 0.0686 | Train Acc: 97.78% | Val Loss: 0.0814 | Val Acc: 96.92%
Epoch 10 | Train Loss: 0.0631 | Train Acc: 97.93% | Val Loss: 0.0768 | Val Acc: 96.90%
96.89999999999999 97.06
