Epoch 1 | Train Loss: 0.3895 | Train Acc: 85.74% | Val Loss: 0.3915 | Val Acc: 85.85%
Epoch 2 | Train Loss: 0.3917 | Train Acc: 85.66% | Val Loss: 0.3944 | Val Acc: 85.92%
Epoch 3 | Train Loss: 0.3924 | Train Acc: 85.04% | Val Loss: 0.3953 | Val Acc: 85.03%
Epoch 4 | Train Loss: 0.3930 | Train Acc: 84.91% | Val Loss: 0.3963 | Val Acc: 84.87%
Epoch 5 | Train Loss: 0.3912 | Train Acc: 84.52% | Val Loss: 0.3947 | Val Acc: 84.12%
Epoch 6 | Train Loss: 0.3918 | Train Acc: 84.27% | Val Loss: 0.3951 | Val Acc: 83.93%
Epoch 7 | Train Loss: 0.3931 | Train Acc: 84.68% | Val Loss: 0.3964 | Val Acc: 84.10%
Epoch 8 | Train Loss: 0.3904 | Train Acc: 85.19% | Val Loss: 0.3936 | Val Acc: 85.18%
Epoch 9 | Train Loss: 0.3898 | Train Acc: 83.73% | Val Loss: 0.3933 | Val Acc: 83.03%
Epoch 10 | Train Loss: 0.3886 | Train Acc: 84.56% | Val Loss: 0.3917 | Val Acc: 84.47%
84.46666666666667 85.5
