Epoch 1 | Train Loss: 0.1353 | Train Acc: 95.27% | Val Loss: 0.1380 | Val Acc: 95.07%
Epoch 2 | Train Loss: 0.1006 | Train Acc: 96.66% | Val Loss: 0.1070 | Val Acc: 96.37%
Epoch 3 | Train Loss: 0.0869 | Train Acc: 97.25% | Val Loss: 0.0959 | Val Acc: 96.70%
Epoch 4 | Train Loss: 0.0710 | Train Acc: 97.78% | Val Loss: 0.0812 | Val Acc: 97.27%
Epoch 5 | Train Loss: 0.0610 | Train Acc: 98.15% | Val Loss: 0.0726 | Val Acc: 97.43%
Epoch 6 | Train Loss: 0.0561 | Train Acc: 98.37% | Val Loss: 0.0709 | Val Acc: 97.48%
Epoch 7 | Train Loss: 0.0551 | Train Acc: 98.52% | Val Loss: 0.0695 | Val Acc: 97.68%
Epoch 8 | Train Loss: 0.0442 | Train Acc: 98.72% | Val Loss: 0.0602 | Val Acc: 97.75%
Epoch 9 | Train Loss: 0.0389 | Train Acc: 98.92% | Val Loss: 0.0560 | Val Acc: 97.92%
Epoch 10 | Train Loss: 0.0373 | Train Acc: 99.02% | Val Loss: 0.0556 | Val Acc: 97.95%
97.95 97.81
