Epoch 1 | Train Loss: 0.1439 | Train Acc: 94.95% | Val Loss: 0.1462 | Val Acc: 94.95%
Epoch 2 | Train Loss: 0.1041 | Train Acc: 96.49% | Val Loss: 0.1106 | Val Acc: 96.28%
Epoch 3 | Train Loss: 0.0855 | Train Acc: 97.21% | Val Loss: 0.0948 | Val Acc: 96.65%
Epoch 4 | Train Loss: 0.0725 | Train Acc: 97.73% | Val Loss: 0.0840 | Val Acc: 97.13%
Epoch 5 | Train Loss: 0.0631 | Train Acc: 98.16% | Val Loss: 0.0761 | Val Acc: 97.47%
Epoch 6 | Train Loss: 0.0587 | Train Acc: 98.27% | Val Loss: 0.0728 | Val Acc: 97.30%
Epoch 7 | Train Loss: 0.0503 | Train Acc: 98.56% | Val Loss: 0.0659 | Val Acc: 97.63%
Epoch 8 | Train Loss: 0.0449 | Train Acc: 98.78% | Val Loss: 0.0615 | Val Acc: 97.80%
Epoch 9 | Train Loss: 0.0400 | Train Acc: 98.95% | Val Loss: 0.0577 | Val Acc: 97.77%
Epoch 10 | Train Loss: 0.0386 | Train Acc: 99.02% | Val Loss: 0.0580 | Val Acc: 97.87%
97.86666666666667 97.67
