Epoch 1 | Train Loss: 0.1587 | Train Acc: 94.43% | Val Loss: 0.1590 | Val Acc: 94.55%
Epoch 2 | Train Loss: 0.1179 | Train Acc: 95.89% | Val Loss: 0.1219 | Val Acc: 95.55%
Epoch 3 | Train Loss: 0.0990 | Train Acc: 96.61% | Val Loss: 0.1049 | Val Acc: 96.43%
Epoch 4 | Train Loss: 0.0853 | Train Acc: 97.14% | Val Loss: 0.0928 | Val Acc: 96.72%
Epoch 5 | Train Loss: 0.0749 | Train Acc: 97.49% | Val Loss: 0.0850 | Val Acc: 96.83%
Epoch 6 | Train Loss: 0.0657 | Train Acc: 97.77% | Val Loss: 0.0778 | Val Acc: 96.98%
Epoch 7 | Train Loss: 0.0595 | Train Acc: 98.12% | Val Loss: 0.0729 | Val Acc: 97.15%
Epoch 8 | Train Loss: 0.0519 | Train Acc: 98.40% | Val Loss: 0.0672 | Val Acc: 97.23%
Epoch 9 | Train Loss: 0.0468 | Train Acc: 98.56% | Val Loss: 0.0630 | Val Acc: 97.35%
Epoch 10 | Train Loss: 0.0422 | Train Acc: 98.77% | Val Loss: 0.0596 | Val Acc: 97.68%
97.68333333333334 97.52
