Epoch 1 | Train Loss: 0.1284 | Train Acc: 95.33% | Val Loss: 0.1319 | Val Acc: 95.20%
Epoch 2 | Train Loss: 0.0993 | Train Acc: 96.47% | Val Loss: 0.1050 | Val Acc: 96.15%
Epoch 3 | Train Loss: 0.0793 | Train Acc: 97.13% | Val Loss: 0.0867 | Val Acc: 96.75%
Epoch 4 | Train Loss: 0.0666 | Train Acc: 97.67% | Val Loss: 0.0755 | Val Acc: 97.12%
Epoch 5 | Train Loss: 0.0572 | Train Acc: 98.01% | Val Loss: 0.0679 | Val Acc: 97.27%
Epoch 6 | Train Loss: 0.0507 | Train Acc: 98.31% | Val Loss: 0.0635 | Val Acc: 97.62%
Epoch 7 | Train Loss: 0.0459 | Train Acc: 98.50% | Val Loss: 0.0592 | Val Acc: 97.60%
Epoch 8 | Train Loss: 0.0393 | Train Acc: 98.72% | Val Loss: 0.0544 | Val Acc: 97.85%
Epoch 9 | Train Loss: 0.0345 | Train Acc: 98.85% | Val Loss: 0.0506 | Val Acc: 97.73%
Epoch 10 | Train Loss: 0.0326 | Train Acc: 98.92% | Val Loss: 0.0498 | Val Acc: 97.83%
97.83333333333334 97.49
