Epoch 1 | Train Loss: 0.1571 | Train Acc: 95.57% | Val Loss: 0.1607 | Val Acc: 95.38%
Epoch 2 | Train Loss: 0.1150 | Train Acc: 96.75% | Val Loss: 0.1259 | Val Acc: 96.35%
Epoch 3 | Train Loss: 0.0925 | Train Acc: 97.32% | Val Loss: 0.1059 | Val Acc: 97.05%
Epoch 4 | Train Loss: 0.0777 | Train Acc: 97.91% | Val Loss: 0.0992 | Val Acc: 97.03%
Epoch 5 | Train Loss: 0.0635 | Train Acc: 98.25% | Val Loss: 0.0906 | Val Acc: 97.43%
Epoch 6 | Train Loss: 0.0533 | Train Acc: 98.58% | Val Loss: 0.0838 | Val Acc: 97.62%
Epoch 7 | Train Loss: 0.0457 | Train Acc: 98.76% | Val Loss: 0.0766 | Val Acc: 97.83%
Epoch 8 | Train Loss: 0.0416 | Train Acc: 98.83% | Val Loss: 0.0749 | Val Acc: 97.72%
Epoch 9 | Train Loss: 0.0398 | Train Acc: 98.93% | Val Loss: 0.0796 | Val Acc: 97.78%
Epoch 10 | Train Loss: 0.0321 | Train Acc: 99.16% | Val Loss: 0.0785 | Val Acc: 97.77%
97.76666666666667 97.57000000000001
