Epoch 1 | Train Loss: 0.1424 | Train Acc: 94.98% | Val Loss: 0.1458 | Val Acc: 94.58%
Epoch 2 | Train Loss: 0.1072 | Train Acc: 96.33% | Val Loss: 0.1141 | Val Acc: 95.68%
Epoch 3 | Train Loss: 0.0891 | Train Acc: 96.99% | Val Loss: 0.0972 | Val Acc: 96.43%
Epoch 4 | Train Loss: 0.0751 | Train Acc: 97.43% | Val Loss: 0.0855 | Val Acc: 96.63%
Epoch 5 | Train Loss: 0.0649 | Train Acc: 97.79% | Val Loss: 0.0769 | Val Acc: 96.90%
Epoch 6 | Train Loss: 0.0574 | Train Acc: 98.07% | Val Loss: 0.0703 | Val Acc: 97.32%
Epoch 7 | Train Loss: 0.0510 | Train Acc: 98.30% | Val Loss: 0.0651 | Val Acc: 97.52%
Epoch 8 | Train Loss: 0.0463 | Train Acc: 98.51% | Val Loss: 0.0614 | Val Acc: 97.40%
Epoch 9 | Train Loss: 0.0417 | Train Acc: 98.72% | Val Loss: 0.0574 | Val Acc: 97.77%
Epoch 10 | Train Loss: 0.0389 | Train Acc: 98.81% | Val Loss: 0.0560 | Val Acc: 97.67%
97.66666666666667 97.46000000000001
