Epoch 1 | Train Loss: 0.9052 | Train Acc: 9.97% | Val Loss: 0.9055 | Val Acc: 9.53%
Epoch 2 | Train Loss: 0.9055 | Train Acc: 9.97% | Val Loss: 0.9051 | Val Acc: 9.53%
Epoch 3 | Train Loss: 0.9065 | Train Acc: 10.43% | Val Loss: 0.9072 | Val Acc: 10.55%
Epoch 4 | Train Loss: 0.9067 | Train Acc: 9.74% | Val Loss: 0.9061 | Val Acc: 9.67%
Epoch 5 | Train Loss: 0.9039 | Train Acc: 10.43% | Val Loss: 0.9042 | Val Acc: 10.55%
Epoch 6 | Train Loss: 0.9034 | Train Acc: 11.27% | Val Loss: 0.9039 | Val Acc: 10.90%
Epoch 7 | Train Loss: 0.9093 | Train Acc: 11.27% | Val Loss: 0.9094 | Val Acc: 10.90%
Epoch 8 | Train Loss: 0.9060 | Train Acc: 10.26% | Val Loss: 0.9069 | Val Acc: 9.82%
Epoch 9 | Train Loss: 0.9031 | Train Acc: 9.97% | Val Loss: 0.9034 | Val Acc: 9.53%
Epoch 10 | Train Loss: 0.9026 | Train Acc: 11.27% | Val Loss: 0.9026 | Val Acc: 10.90%
10.9 11.35
