Epoch 1 | Train Loss: 0.9331 | Train Acc: 48.53% | Val Loss: 0.9355 | Val Acc: 48.15%
Epoch 2 | Train Loss: 0.7843 | Train Acc: 58.45% | Val Loss: 0.7888 | Val Acc: 57.77%
Epoch 3 | Train Loss: 0.7055 | Train Acc: 63.50% | Val Loss: 0.7111 | Val Acc: 63.18%
Epoch 4 | Train Loss: 0.6547 | Train Acc: 66.46% | Val Loss: 0.6608 | Val Acc: 66.30%
Epoch 5 | Train Loss: 0.6183 | Train Acc: 68.61% | Val Loss: 0.6246 | Val Acc: 68.28%
Epoch 6 | Train Loss: 0.5908 | Train Acc: 70.19% | Val Loss: 0.5967 | Val Acc: 69.87%
Epoch 7 | Train Loss: 0.5687 | Train Acc: 71.43% | Val Loss: 0.5748 | Val Acc: 71.05%
Epoch 8 | Train Loss: 0.5508 | Train Acc: 72.42% | Val Loss: 0.5566 | Val Acc: 72.05%
Epoch 9 | Train Loss: 0.5356 | Train Acc: 73.28% | Val Loss: 0.5414 | Val Acc: 72.95%
Epoch 10 | Train Loss: 0.5227 | Train Acc: 73.89% | Val Loss: 0.5283 | Val Acc: 73.65%
73.65 73.29
