Epoch 1 | Train Loss: 0.9000 | Train Acc: 11.27% | Val Loss: 0.8999 | Val Acc: 10.90%
Epoch 2 | Train Loss: 0.8999 | Train Acc: 11.27% | Val Loss: 0.8999 | Val Acc: 10.90%
Epoch 3 | Train Loss: 0.8998 | Train Acc: 11.27% | Val Loss: 0.9001 | Val Acc: 10.90%
Epoch 4 | Train Loss: 0.8998 | Train Acc: 11.27% | Val Loss: 0.9000 | Val Acc: 10.90%
Epoch 5 | Train Loss: 0.8998 | Train Acc: 11.27% | Val Loss: 0.8999 | Val Acc: 10.90%
Epoch 6 | Train Loss: 0.8998 | Train Acc: 11.27% | Val Loss: 0.8998 | Val Acc: 10.90%
Epoch 7 | Train Loss: 0.8999 | Train Acc: 11.27% | Val Loss: 0.9002 | Val Acc: 10.90%
Epoch 8 | Train Loss: 0.8998 | Train Acc: 11.27% | Val Loss: 0.9000 | Val Acc: 10.90%
Epoch 9 | Train Loss: 0.8999 | Train Acc: 11.27% | Val Loss: 0.9002 | Val Acc: 10.90%
Epoch 10 | Train Loss: 0.8997 | Train Acc: 11.27% | Val Loss: 0.8999 | Val Acc: 10.90%
10.9 11.35
