Epoch 1 | Train Loss: 2.1913 | Train Acc: 10.02% | Val Loss: 2.1938 | Val Acc: 9.83%
Epoch 2 | Train Loss: 1.7467 | Train Acc: 10.02% | Val Loss: 1.7489 | Val Acc: 9.83%
Epoch 3 | Train Loss: 1.4559 | Train Acc: 10.02% | Val Loss: 1.4577 | Val Acc: 9.83%
Epoch 4 | Train Loss: 1.2652 | Train Acc: 10.02% | Val Loss: 1.2667 | Val Acc: 9.83%
Epoch 5 | Train Loss: 1.1400 | Train Acc: 10.02% | Val Loss: 1.1413 | Val Acc: 9.83%
Epoch 6 | Train Loss: 1.0577 | Train Acc: 10.02% | Val Loss: 1.0588 | Val Acc: 9.83%
Epoch 7 | Train Loss: 1.0036 | Train Acc: 10.02% | Val Loss: 1.0045 | Val Acc: 9.83%
Epoch 8 | Train Loss: 0.9680 | Train Acc: 10.02% | Val Loss: 0.9688 | Val Acc: 9.83%
Epoch 9 | Train Loss: 0.9445 | Train Acc: 10.02% | Val Loss: 0.9452 | Val Acc: 9.83%
Epoch 10 | Train Loss: 0.9290 | Train Acc: 10.02% | Val Loss: 0.9296 | Val Acc: 9.83%
9.833333333333332 10.0
