Epoch 1 | Train Loss: 0.9618 | Train Acc: 8.89% | Val Loss: 0.9618 | Val Acc: 8.78%
Epoch 2 | Train Loss: 0.9379 | Train Acc: 10.14% | Val Loss: 0.9380 | Val Acc: 9.27%
Epoch 3 | Train Loss: 0.9233 | Train Acc: 10.09% | Val Loss: 0.9233 | Val Acc: 9.17%
Epoch 4 | Train Loss: 0.9143 | Train Acc: 10.09% | Val Loss: 0.9143 | Val Acc: 9.17%
Epoch 5 | Train Loss: 0.9088 | Train Acc: 10.09% | Val Loss: 0.9088 | Val Acc: 9.17%
Epoch 6 | Train Loss: 0.9054 | Train Acc: 10.09% | Val Loss: 0.9054 | Val Acc: 9.17%
Epoch 7 | Train Loss: 0.9033 | Train Acc: 10.09% | Val Loss: 0.9033 | Val Acc: 9.17%
Epoch 8 | Train Loss: 0.9020 | Train Acc: 10.09% | Val Loss: 0.9020 | Val Acc: 9.17%
Epoch 9 | Train Loss: 0.9012 | Train Acc: 10.09% | Val Loss: 0.9013 | Val Acc: 9.17%
Epoch 10 | Train Loss: 0.9007 | Train Acc: 10.09% | Val Loss: 0.9008 | Val Acc: 9.17%
9.166666666666666 10.0
