Epoch 1 | Train Loss: 0.9571 | Train Acc: 10.01% | Val Loss: 0.9578 | Val Acc: 9.95%
Epoch 2 | Train Loss: 0.9721 | Train Acc: 9.96% | Val Loss: 0.9726 | Val Acc: 10.35%
Epoch 3 | Train Loss: 1.2623 | Train Acc: 10.02% | Val Loss: 1.2638 | Val Acc: 9.83%
Epoch 4 | Train Loss: 1.5149 | Train Acc: 9.98% | Val Loss: 1.5170 | Val Acc: 10.18%
Epoch 5 | Train Loss: 0.9304 | Train Acc: 9.96% | Val Loss: 0.9295 | Val Acc: 10.32%
Epoch 6 | Train Loss: 0.9751 | Train Acc: 10.02% | Val Loss: 0.9744 | Val Acc: 9.83%
Epoch 7 | Train Loss: 1.2140 | Train Acc: 9.95% | Val Loss: 1.2140 | Val Acc: 10.45%
Epoch 8 | Train Loss: 1.2689 | Train Acc: 10.02% | Val Loss: 1.2665 | Val Acc: 10.20%
Epoch 9 | Train Loss: 1.7490 | Train Acc: 10.02% | Val Loss: 1.7628 | Val Acc: 9.78%
Epoch 10 | Train Loss: 1.5185 | Train Acc: 9.95% | Val Loss: 1.5080 | Val Acc: 10.45%
10.45 10.0
